resolution_id,resolution_type
1015,Clean Claims Violation; Additional Monies Received; Stat Pen Pd-Up To 45 Dys Late
1016,Clean Claims Violation; Additional Payment Expected
1017,Clean Claims Violation; Additional Payment Expected; Stat Pen Pd-Up To 45 Dys Late
1018,Clean Claims Violation; Claim Not Clean
1019,Clean Claims Violation; Claim Settled
1020,Clean Claims Violation; Claim Settled; Additional Monies Received
1021,Clean Claims Violation; Claim Settled; Corrective Action Taken
1022,Clean Claims Violation; Claim Settled; Information Furnished
1023,Clean Claims Violation; Contract Language/Legal Issue
1024,Clean Claims Violation; Contract Language/Legal Issue; Additional Monies Received
1025,Clean Claims Violation; Contract Language/Legal Issue; Company Position Upheld
1026,Clean Claims Violation; Contract Language/Legal Issue; Information Furnished
1027,Clean Claims Violation; Contract Language/Legal Issue; Question of Fact
1028,Clean Claims Violation; Contract Language/Legal Issue; Stat Pen Pd-46 To 90 Dys Late
1029,Clean Claims Violation; Contract Language/Legal Issue; Stat Pen Pd-Up To 45 Dys Late
1030,Clean Claims Violation; Corrective Action Taken
1031,Clean Claims Violation; Corrective Action Taken; Stat Pen Pd-46 To 90 Dys Late
1032,Clean Claims Violation; Corrective Action Taken; Stat Pen Pd-Over 90 Dys Late
1033,Clean Claims Violation; Corrective Action Taken; Stat Pen Pd-Up To 45 Dys Late
1034,Clean Claims Violation; Failure to Timely Respond; Additional Monies Received
1035,Clean Claims Violation; Information Furnished
1036,Clean Claims Violation; Information Furnished; Additional Monies Received
1037,Clean Claims Violation; Information Furnished; Claim Not Clean
1038,Clean Claims Violation; Information Furnished; Stat Pen Pd-46 To 90 Dys Late
1039,Clean Claims Violation; Information Furnished; Stat Pen Pd-Up To 45 Dys Late
1040,Clean Claims Violation; Referred for Disciplinary Actn
1041,Clean Claims Violation; Referred for Disciplinary Actn; Stat Pen Pd-46 To 90 Dys Late
1042,Clean Claims Violation; Stat Pen Pd-46 To 90 Dys Late
1043,Clean Claims Violation; Stat Pen Pd-46 To 90 Dys Late; Additional Monies Received
1044,Clean Claims Violation; Stat Pen Pd-46 To 90 Dys Late; Corrective Action Taken
1045,Clean Claims Violation; Stat Pen Pd-46 To 90 Dys Late; Information Furnished
1046,Clean Claims Violation; Stat Pen Pd-Over 90 Dys Late
1047,Clean Claims Violation; Stat Pen Pd-Over 90 Dys Late; Additional Monies Received
1048,Clean Claims Violation; Stat Pen Pd-Over 90 Dys Late; Claim Settled
1049,Clean Claims Violation; Stat Pen Pd-Over 90 Dys Late; Contract Language/Legal Issue
1050,Clean Claims Violation; Stat Pen Pd-Over 90 Dys Late; Corrective Action Taken
1051,Clean Claims Violation; Stat Pen Pd-Over 90 Dys Late; Information Furnished
1052,Clean Claims Violation; Stat Pen Pd-Up To 45 Dys Late
1053,Clean Claims Violation; Stat Pen Pd-Up To 45 Dys Late; Additional Monies Received
1054,Clean Claims Violation; Stat Pen Pd-Up To 45 Dys Late; Additional Payment Expected
1055,Clean Claims Violation; Stat Pen Pd-Up To 45 Dys Late; Corrective Action Taken
1056,Clean Claims Violation; Stat Pen Pd-Up To 45 Dys Late; Information Furnished
1057,Clean Claims Violation; Stat Pen Pd-Up To 45 Dys Late; Stat Pen Pd-Over 90 Dys Late
1058,Company Position Upheld
1059,Company Position Upheld; Additional Monies Received
1060,Company Position Upheld; Additional Monies Received; Additional Payment Expected
1061,Company Position Upheld; Additional Monies Received; Claim Settled
1062,Company Position Upheld; Additional Monies Received; Contract Language/Legal Issue
1063,Company Position Upheld; Additional Monies Received; Information Furnished
1064,Company Position Upheld; Additional Monies Received; No Jurisdiction
1065,Company Position Upheld; Additional Monies Received; Premium Refunded
1066,Company Position Upheld; Additional Monies Received; Question of Fact
1067,Company Position Upheld; Additional Monies Received; Stat Pen Pd-46 To 90 Dys Late
1068,Company Position Upheld; Additional Payment Expected
1069,Company Position Upheld; Additional Payment Expected; Additional Monies Received
1070,Company Position Upheld; Additional Payment Expected; Cancel/Non-Renewal Upheld
1071,Company Position Upheld; Additional Payment Expected; Claim Not Clean
1072,Company Position Upheld; Additional Payment Expected; Contract Language/Legal Issue
1073,Company Position Upheld; Additional Payment Expected; Corrective Action Taken
1074,Company Position Upheld; Additional Payment Expected; Information Furnished
1075,Company Position Upheld; Additional Payment Expected; Policy Not In Force
1076,Company Position Upheld; Additional Payment Expected; Question of Fact
1077,Company Position Upheld; Appraisal Process Invoked
1078,Company Position Upheld; Appraisal Process Invoked; Contract Language/Legal Issue
1079,Company Position Upheld; Cancel/Non-Renewal Upheld
1080,Company Position Upheld; Cancel/Non-Renewal Upheld; Contract Language/Legal Issue
1081,Company Position Upheld; Cancel/Non-Renewal Upheld; Information Furnished
1082,Company Position Upheld; Cancel/Non-Renewal Upheld; Policy Not In Force
1083,Company Position Upheld; Cancel/Non-Renewal Upheld; Question of Fact
1084,Company Position Upheld; Cash Surrender Paid
1085,Company Position Upheld; Cash Surrender Paid; Information Furnished
1086,Company Position Upheld; Claim Not Clean
1087,Company Position Upheld; Claim Not Clean; Additional Monies Received
1088,Company Position Upheld; Claim Not Clean; Contract Language/Legal Issue
1089,Company Position Upheld; Claim Not Clean; Information Furnished
1090,Company Position Upheld; Claim Settled
1091,Company Position Upheld; Claim Settled; Additional Monies Received
1092,Company Position Upheld; Claim Settled; Contract Language/Legal Issue
1093,Company Position Upheld; Claim Settled; Information Furnished
1094,Company Position Upheld; Claim Settled; Question of Fact
1095,Company Position Upheld; Complainant Retained Attorney
1096,Company Position Upheld; Complainant Retained Attorney; Claim Settled
1097,Company Position Upheld; Complainant Retained Attorney; Contract Language/Legal Issue
1098,Company Position Upheld; Complainant Retained Attorney; Information Furnished
1099,Company Position Upheld; Complainant Retained Attorney; Policy Not In Force
1100,Company Position Upheld; Complainant Retained Attorney; Question of Fact
1101,Company Position Upheld; Consumer Withdraw
1102,Company Position Upheld; Contract Language/Legal Issue
1103,Company Position Upheld; Contract Language/Legal Issue; Additional Monies Received
1104,Company Position Upheld; Contract Language/Legal Issue; Additional Payment Expected
1105,Company Position Upheld; Contract Language/Legal Issue; Appraisal Process Invoked
1106,Company Position Upheld; Contract Language/Legal Issue; Cancel/Non-Renewal Upheld
1107,Company Position Upheld; Contract Language/Legal Issue; Cash Surrender Paid
1108,Company Position Upheld; Contract Language/Legal Issue; Claim Not Clean
1109,Company Position Upheld; Contract Language/Legal Issue; Claim Settled
1110,Company Position Upheld; Contract Language/Legal Issue; Complainant Retained Attorney
1111,Company Position Upheld; Contract Language/Legal Issue; Corrective Action Taken
1112,Company Position Upheld; Contract Language/Legal Issue; Failure to Timely Respond
1113,Company Position Upheld; Contract Language/Legal Issue; Information Furnished
1114,Company Position Upheld; Contract Language/Legal Issue; Insufficient Information
1115,Company Position Upheld; Contract Language/Legal Issue; Mediation Not Eligible
1116,Company Position Upheld; Contract Language/Legal Issue; No Jurisdiction
1117,Company Position Upheld; Contract Language/Legal Issue; Overpaid Claim Recouped
1118,Company Position Upheld; Contract Language/Legal Issue; Policy Issued/Restored
1119,Company Position Upheld; Contract Language/Legal Issue; Policy Not In Force
1120,Company Position Upheld; Contract Language/Legal Issue; Premium Refunded
1121,Company Position Upheld; Contract Language/Legal Issue; Question of Fact
1122,Company Position Upheld; Contract Language/Legal Issue; Referred To
1123,Company Position Upheld; Contract Language/Legal Issue; Stat Pen Pd-Over 90 Dys Late
1124,Company Position Upheld; Corrective Action Taken
1125,Company Position Upheld; Corrective Action Taken; Additional Monies Received
1126,Company Position Upheld; Corrective Action Taken; Additional Payment Expected
1127,Company Position Upheld; Corrective Action Taken; Contract Language/Legal Issue
1128,Company Position Upheld; Corrective Action Taken; Information Furnished
1129,Company Position Upheld; Corrective Action Taken; Policy Not In Force
1130,Company Position Upheld; Corrective Action Taken; Question of Fact
1131,Company Position Upheld; Entered Into Arbitration; Contract Language/Legal Issue
1132,Company Position Upheld; Entered Into Arbitration; Information Furnished
1133,Company Position Upheld; Failure to Timely Respond
1134,Company Position Upheld; Failure to Timely Respond; Cancel/Non-Renewal Upheld
1135,Company Position Upheld; Failure to Timely Respond; Contract Language/Legal Issue
1136,Company Position Upheld; Failure to Timely Respond; Information Furnished
1137,Company Position Upheld; Failure to Timely Respond; Question of Fact
1138,Company Position Upheld; Information Furnished
1139,Company Position Upheld; Information Furnished; Additional Monies Received
1140,Company Position Upheld; Information Furnished; Additional Payment Expected
1141,Company Position Upheld; Information Furnished; Appraisal Process Invoked
1142,Company Position Upheld; Information Furnished; Cancel/Non-Renewal Upheld
1143,Company Position Upheld; Information Furnished; Cash Surrender Paid
1144,Company Position Upheld; Information Furnished; Claim Not Clean
1145,Company Position Upheld; Information Furnished; Claim Settled
1146,Company Position Upheld; Information Furnished; Complaint Withdrawn
1147,Company Position Upheld; Information Furnished; Consumer Withdraw
1148,Company Position Upheld; Information Furnished; Contract Language/Legal Issue
1149,Company Position Upheld; Information Furnished; Corrective Action Taken
1150,Company Position Upheld; Information Furnished; Failure to Timely Respond
1151,Company Position Upheld; Information Furnished; Insufficient Information
1152,Company Position Upheld; Information Furnished; No Jurisdiction
1153,Company Position Upheld; Information Furnished; Other
1154,Company Position Upheld; Information Furnished; Policy Issued/Restored
1155,Company Position Upheld; Information Furnished; Policy Not In Force
1156,Company Position Upheld; Information Furnished; Premium Refunded
1157,Company Position Upheld; Information Furnished; Question of Fact
1158,Company Position Upheld; Information Furnished; Referred To
1159,Company Position Upheld; Insufficient Information
1160,Company Position Upheld; Insufficient Information; Claim Settled
1161,Company Position Upheld; Insufficient Information; Contract Language/Legal Issue
1162,Company Position Upheld; Insufficient Information; Information Furnished
1163,Company Position Upheld; Insufficient Information; Mediation Not Eligible
1164,Company Position Upheld; Insufficient Information; Policy Not In Force
1165,Company Position Upheld; Insufficient Information; Question of Fact
1166,Company Position Upheld; Mediation Billed Amount; Mediation Not Eligible
1167,Company Position Upheld; Mediation Not Eligible
1168,Company Position Upheld; Mediation Not Eligible; Contract Language/Legal Issue
1169,Company Position Upheld; Mediation Not Eligible; Mediation Billed Amount
1170,Company Position Upheld; Mediation Paid Amount; Mediation Billed Amount
1171,Company Position Upheld; No Jurisdiction
1172,Company Position Upheld; No Jurisdiction; Cancel/Non-Renewal Upheld
1173,Company Position Upheld; No Jurisdiction; Claim Not Clean
1174,Company Position Upheld; No Jurisdiction; Contract Language/Legal Issue
1175,Company Position Upheld; No Jurisdiction; Failure to Timely Respond
1176,Company Position Upheld; No Jurisdiction; Information Furnished
1177,Company Position Upheld; No Jurisdiction; Policy Not In Force
1178,Company Position Upheld; No Jurisdiction; Referred To
1179,Company Position Upheld; Non-Renewal Rescinded
1180,Company Position Upheld; Other; Information Furnished
1181,Company Position Upheld; Overpaid Claim Recouped
1182,Company Position Upheld; Overpaid Claim Recouped; Contract Language/Legal Issue
1183,Company Position Upheld; Overpaid Claim Recouped; No Jurisdiction
1184,Company Position Upheld; Policy Issued/Restored
1185,Company Position Upheld; Policy Issued/Restored; Contract Language/Legal Issue
1186,Company Position Upheld; Policy Issued/Restored; Information Furnished
1187,Company Position Upheld; Policy Not In Force
1188,Company Position Upheld; Policy Not In Force; Cancel/Non-Renewal Upheld
1189,Company Position Upheld; Policy Not In Force; Contract Language/Legal Issue
1190,Company Position Upheld; Policy Not In Force; Information Furnished
1191,Company Position Upheld; Policy Not In Force; Premium Refunded
1192,Company Position Upheld; Policy Not In Force; Question of Fact
1193,Company Position Upheld; Premium Refunded
1194,Company Position Upheld; Premium Refunded; Additional Monies Received
1195,Company Position Upheld; Premium Refunded; Cancel/Non-Renewal Upheld
1196,Company Position Upheld; Premium Refunded; Contract Language/Legal Issue
1197,Company Position Upheld; Premium Refunded; Information Furnished
1198,Company Position Upheld; Premium Refunded; Policy Not In Force
1199,Company Position Upheld; Premium Refunded; Question of Fact
1200,Company Position Upheld; Question of Fact
1201,Company Position Upheld; Question of Fact; Additional Monies Received
1202,Company Position Upheld; Question of Fact; Additional Payment Expected
1203,Company Position Upheld; Question of Fact; Cancel/Non-Renewal Upheld
1204,Company Position Upheld; Question of Fact; Claim Settled
1205,Company Position Upheld; Question of Fact; Complainant Retained Attorney
1206,Company Position Upheld; Question of Fact; Contract Language/Legal Issue
1207,Company Position Upheld; Question of Fact; Corrective Action Taken
1208,Company Position Upheld; Question of Fact; FM Warning Ltr
1209,Company Position Upheld; Question of Fact; Information Furnished
1210,Company Position Upheld; Question of Fact; Insufficient Information
1211,Company Position Upheld; Question of Fact; No Jurisdiction
1212,Company Position Upheld; Question of Fact; Policy Not In Force
1213,Company Position Upheld; Question of Fact; Premium Refunded
1214,Company Position Upheld; Question of Fact; Referred To
1215,Company Position Upheld; Referred for Disciplinary Actn
1216,Company Position Upheld; Referred for Disciplinary Actn; Contract Language/Legal Issue
1217,Company Position Upheld; Referred To
1218,Company Position Upheld; Referred To; Complaint Withdrawn
1219,Company Position Upheld; Referred To; Contract Language/Legal Issue
1220,Company Position Upheld; Referred To; Information Furnished
1221,Company Position Upheld; Referred To; No Jurisdiction
1222,Company Position Upheld; Stat Pen Pd-Over 90 Dys Late; Claim Settled
1223,Complainant Retained Attorney
1224,Complainant Retained Attorney; Additional Monies Received
1225,Complainant Retained Attorney; Additional Monies Received; Additional Payment Expected
1226,Complainant Retained Attorney; Additional Monies Received; Claim Settled
1227,Complainant Retained Attorney; Additional Monies Received; Contract Language/Legal Issue
1228,Complainant Retained Attorney; Additional Monies Received; Failure to Timely Respond
1229,Complainant Retained Attorney; Additional Monies Received; Information Furnished
1230,Complainant Retained Attorney; Additional Monies Received; Policy Not In Force
1231,Complainant Retained Attorney; Additional Monies Received; Question of Fact
1232,Complainant Retained Attorney; Additional Payment Expected
1233,Complainant Retained Attorney; Additional Payment Expected; Additional Monies Received
1234,Complainant Retained Attorney; Additional Payment Expected; Contract Language/Legal Issue
1235,Complainant Retained Attorney; Additional Payment Expected; Failure to Timely Respond
1236,Complainant Retained Attorney; Additional Payment Expected; Information Furnished
1237,Complainant Retained Attorney; Additional Payment Expected; Question of Fact
1238,Complainant Retained Attorney; Appraisal Process Invoked
1239,Complainant Retained Attorney; Appraisal Process Invoked; Additional Payment Expected
1240,Complainant Retained Attorney; Appraisal Process Invoked; Information Furnished
1241,Complainant Retained Attorney; Cancel/Non-Renewal Upheld; Additional Monies Received
1242,Complainant Retained Attorney; Claim Settled
1243,Complainant Retained Attorney; Claim Settled; Additional Monies Received
1244,Complainant Retained Attorney; Claim Settled; Contract Language/Legal Issue
1245,Complainant Retained Attorney; Claim Settled; Corrective Action Taken
1246,Complainant Retained Attorney; Claim Settled; Information Furnished
1247,Complainant Retained Attorney; Claim Settled; Question of Fact
1248,Complainant Retained Attorney; Company Position Upheld
1249,Complainant Retained Attorney; Company Position Upheld; Contract Language/Legal Issue
1250,Complainant Retained Attorney; Company Position Upheld; Information Furnished
1251,Complainant Retained Attorney; Company Position Upheld; No Jurisdiction
1252,Complainant Retained Attorney; Consumer Withdraw
1253,Complainant Retained Attorney; Contract Language/Legal Issue
1254,Complainant Retained Attorney; Contract Language/Legal Issue; Additional Monies Received
1255,Complainant Retained Attorney; Contract Language/Legal Issue; Additional Payment Expected
1256,Complainant Retained Attorney; Contract Language/Legal Issue; Claim Settled
1257,Complainant Retained Attorney; Contract Language/Legal Issue; Company Position Upheld
1258,Complainant Retained Attorney; Contract Language/Legal Issue; Information Furnished
1259,Complainant Retained Attorney; Contract Language/Legal Issue; No Jurisdiction
1260,Complainant Retained Attorney; Contract Language/Legal Issue; Policy Not In Force
1261,Complainant Retained Attorney; Contract Language/Legal Issue; Question of Fact
1262,Complainant Retained Attorney; Corrective Action Taken
1263,Complainant Retained Attorney; Corrective Action Taken; Additional Monies Received
1264,Complainant Retained Attorney; Corrective Action Taken; Additional Payment Expected
1265,Complainant Retained Attorney; Corrective Action Taken; Company Position Upheld
1266,Complainant Retained Attorney; Corrective Action Taken; Contract Language/Legal Issue
1267,Complainant Retained Attorney; Entered Into Arbitration
1268,Complainant Retained Attorney; Entered Into Arbitration; Information Furnished
1269,Complainant Retained Attorney; Entered Into Mediation; Question of Fact
1270,Complainant Retained Attorney; Failure to Timely Respond; Additional Monies Received
1271,Complainant Retained Attorney; Failure to Timely Respond; No Jurisdiction
1272,Complainant Retained Attorney; Information Furnished
1273,Complainant Retained Attorney; Information Furnished; Additional Monies Received
1274,Complainant Retained Attorney; Information Furnished; Additional Payment Expected
1275,Complainant Retained Attorney; Information Furnished; Claim Settled
1276,Complainant Retained Attorney; Information Furnished; Company Position Upheld
1277,Complainant Retained Attorney; Information Furnished; Contract Language/Legal Issue
1278,Complainant Retained Attorney; Information Furnished; Corrective Action Taken
1279,Complainant Retained Attorney; Information Furnished; No Jurisdiction
1280,Complainant Retained Attorney; Information Furnished; Policy Not In Force
1281,Complainant Retained Attorney; Information Furnished; Premium Refunded
1282,Complainant Retained Attorney; Information Furnished; Question of Fact
1283,Complainant Retained Attorney; Insufficient Information
1284,Complainant Retained Attorney; Insufficient Information; Additional Monies Received
1285,Complainant Retained Attorney; No Jurisdiction
1286,Complainant Retained Attorney; No Jurisdiction; Additional Monies Received
1287,Complainant Retained Attorney; No Jurisdiction; Claim Settled
1288,Complainant Retained Attorney; No Jurisdiction; Contract Language/Legal Issue
1289,Complainant Retained Attorney; No Jurisdiction; Information Furnished
1290,Complainant Retained Attorney; No Jurisdiction; Referred To
1291,Complainant Retained Attorney; Non-Renewal Rescinded; Information Furnished
1292,Complainant Retained Attorney; Policy Issued/Restored; Additional Monies Received
1293,Complainant Retained Attorney; Premium Refunded
1294,Complainant Retained Attorney; Question of Fact
1295,Complainant Retained Attorney; Question of Fact; Additional Monies Received
1296,Complainant Retained Attorney; Question of Fact; Additional Payment Expected
1297,Complainant Retained Attorney; Question of Fact; Cancellation Withdrawn
1298,Complainant Retained Attorney; Question of Fact; Claim Settled
1299,Complainant Retained Attorney; Question of Fact; Company Position Upheld
1300,Complainant Retained Attorney; Question of Fact; Contract Language/Legal Issue
1301,Complainant Retained Attorney; Question of Fact; Entered Into Arbitration
1302,Complainant Retained Attorney; Question of Fact; Information Furnished
1303,Complainant Retained Attorney; Record Only
1304,Complainant Retained Attorney; Referred for Disciplinary Actn
1305,Complainant Retained Attorney; Referred for Disciplinary Actn; Contract Language/Legal Issue
1306,Complaint Withdrawn
1307,Complaint Withdrawn; Additional Monies Received
1308,Complaint Withdrawn; Additional Monies Received; Claim Settled
1309,Complaint Withdrawn; Additional Monies Received; Corrective Action Taken
1310,Complaint Withdrawn; Additional Monies Received; Information Furnished
1311,Complaint Withdrawn; Additional Monies Received; Stat Pen Pd-Up To 45 Dys Late
1312,Complaint Withdrawn; Additional Payment Expected
1313,Complaint Withdrawn; Additional Payment Expected; Contract Language/Legal Issue
1314,Complaint Withdrawn; Additional Payment Expected; Question of Fact
1315,Complaint Withdrawn; Claim Settled
1316,Complaint Withdrawn; Claim Settled; Additional Monies Received
1317,Complaint Withdrawn; Claim Settled; Information Furnished
1318,Complaint Withdrawn; Contract Language/Legal Issue
1319,Complaint Withdrawn; Contract Language/Legal Issue; Claim Settled
1320,Complaint Withdrawn; Corrective Action Taken
1321,Complaint Withdrawn; Corrective Action Taken; Claim Settled
1322,Complaint Withdrawn; Corrective Action Taken; Information Furnished
1323,Complaint Withdrawn; Information Furnished
1324,Complaint Withdrawn; Information Furnished; Claim Settled
1325,Complaint Withdrawn; Information Furnished; Corrective Action Taken
1326,Complaint Withdrawn; Information Furnished; No Jurisdiction
1327,Complaint Withdrawn; Information Furnished; Policy Issued/Restored
1328,Complaint Withdrawn; No Jurisdiction
1329,Complaint Withdrawn; Policy Issued/Restored
1330,Complaint Withdrawn; Premium Refunded
1331,Complaint Withdrawn; Question of Fact
1332,Complaint Withdrawn; Record Only
1333,Complaint Withdrawn; Referred To
1334,Complaint Withdrawn; Referred To; Information Furnished
1335,Consumer Withdraw
1336,Consumer Withdraw; Additional Monies Received
1337,Consumer Withdraw; Additional Monies Received; Additional Payment Expected
1338,Consumer Withdraw; Additional Monies Received; Claim Settled
1339,Consumer Withdraw; Additional Monies Received; Information Furnished
1340,Consumer Withdraw; Additional Payment Expected
1341,Consumer Withdraw; Cash Surrender Paid
1342,Consumer Withdraw; Claim Settled
1343,Consumer Withdraw; Claim Settled; Additional Monies Received
1344,Consumer Withdraw; Claim Settled; Record Only
1345,Consumer Withdraw; Clean Claims Violation; Stat Pen Pd-Up To 45 Dys Late
1346,Consumer Withdraw; Complainant Retained Attorney
1347,Consumer Withdraw; Contract Language/Legal Issue
1348,Consumer Withdraw; Contract Language/Legal Issue; Additional Monies Received
1349,Consumer Withdraw; Contract Language/Legal Issue; Additional Payment Expected
1350,Consumer Withdraw; Contract Language/Legal Issue; Information Furnished
1351,Consumer Withdraw; Contract Language/Legal Issue; Premium Refunded
1352,Consumer Withdraw; Corrective Action Taken
1353,Consumer Withdraw; Corrective Action Taken; Premium Refunded
1354,Consumer Withdraw; Failure to Timely Respond
1355,Consumer Withdraw; Information Furnished
1356,Consumer Withdraw; Information Furnished; Additional Monies Received
1357,Consumer Withdraw; Information Furnished; Additional Payment Expected
1358,Consumer Withdraw; Information Furnished; Mediation Billed Amount
1359,Consumer Withdraw; Information Furnished; No Jurisdiction
1360,Consumer Withdraw; Insufficient Information
1361,Consumer Withdraw; Insufficient Information; Mediation Billed Amount
1362,Consumer Withdraw; Mediation Billed Amount
1363,Consumer Withdraw; Mediation Billed Amount; Mediation Not Eligible
1364,Consumer Withdraw; Mediation Not Eligible
1365,Consumer Withdraw; Mediation Not Eligible; Mediation Billed Amount
1366,Consumer Withdraw; No Jurisdiction
1367,Consumer Withdraw; Policy Issued/Restored
1368,Consumer Withdraw; Premium Refunded
1369,Consumer Withdraw; Premium Refunded; Corrective Action Taken
1370,Consumer Withdraw; Question of Fact
1371,Consumer Withdraw; Record Only
1372,Contract Language/Legal Issue
1373,Contract Language/Legal Issue; Additional Monies Received
1374,Contract Language/Legal Issue; Additional Monies Received; Additional Payment Expected
1375,Contract Language/Legal Issue; Additional Monies Received; Appraisal Process Invoked
1376,Contract Language/Legal Issue; Additional Monies Received; Cancellation Withdrawn
1377,Contract Language/Legal Issue; Additional Monies Received; Cash Surrender Paid
1378,Contract Language/Legal Issue; Additional Monies Received; Claim Not Clean
1379,Contract Language/Legal Issue; Additional Monies Received; Claim Settled
1380,Contract Language/Legal Issue; Additional Monies Received; Clean Claims Violation
1381,Contract Language/Legal Issue; Additional Monies Received; Company Position Upheld
1382,Contract Language/Legal Issue; Additional Monies Received; Complainant Retained Attorney
1383,Contract Language/Legal Issue; Additional Monies Received; Complaint Withdrawn
1384,Contract Language/Legal Issue; Additional Monies Received; Consumer Withdraw
1385,Contract Language/Legal Issue; Additional Monies Received; Corrective Action Taken
1386,Contract Language/Legal Issue; Additional Monies Received; Failure to Timely Respond
1387,Contract Language/Legal Issue; Additional Monies Received; Information Furnished
1388,Contract Language/Legal Issue; Additional Monies Received; Insufficient Information
1389,Contract Language/Legal Issue; Additional Monies Received; Mediation Billed Amount
1390,Contract Language/Legal Issue; Additional Monies Received; Mediation Not Eligible
1391,Contract Language/Legal Issue; Additional Monies Received; No Jurisdiction
1392,Contract Language/Legal Issue; Additional Monies Received; Other
1393,Contract Language/Legal Issue; Additional Monies Received; Policy Issued/Restored
1394,Contract Language/Legal Issue; Additional Monies Received; Policy Not In Force
1395,Contract Language/Legal Issue; Additional Monies Received; Premium Refunded
1396,Contract Language/Legal Issue; Additional Monies Received; Question of Fact
1397,Contract Language/Legal Issue; Additional Monies Received; Referred To
1398,Contract Language/Legal Issue; Additional Monies Received; Stat Pen Pd-46 To 90 Dys Late
1399,Contract Language/Legal Issue; Additional Monies Received; Stat Pen Pd-Over 90 Dys Late
1400,Contract Language/Legal Issue; Additional Monies Received; Stat Pen Pd-Up To 45 Dys Late
1401,Contract Language/Legal Issue; Additional Payment Expected
1402,Contract Language/Legal Issue; Additional Payment Expected; Additional Monies Received
1403,Contract Language/Legal Issue; Additional Payment Expected; Appraisal Process Invoked
1404,Contract Language/Legal Issue; Additional Payment Expected; Claim Settled
1405,Contract Language/Legal Issue; Additional Payment Expected; Company Position Upheld
1406,Contract Language/Legal Issue; Additional Payment Expected; Complainant Retained Attorney
1407,Contract Language/Legal Issue; Additional Payment Expected; Corrective Action Taken
1408,Contract Language/Legal Issue; Additional Payment Expected; Information Furnished
1409,Contract Language/Legal Issue; Additional Payment Expected; Mediation Not Eligible
1410,Contract Language/Legal Issue; Additional Payment Expected; Mediation Paid Amount
1411,Contract Language/Legal Issue; Additional Payment Expected; No Jurisdiction
1412,Contract Language/Legal Issue; Additional Payment Expected; Non-Renewal Rescinded
1413,Contract Language/Legal Issue; Additional Payment Expected; Policy Not In Force
1414,Contract Language/Legal Issue; Additional Payment Expected; Premium Refunded
1415,Contract Language/Legal Issue; Additional Payment Expected; Question of Fact
1416,Contract Language/Legal Issue; Additional Payment Expected; Referred To
1417,Contract Language/Legal Issue; Agent 1st warning
1418,Contract Language/Legal Issue; Agent 1st warning; Failure to Timely Respond
1419,Contract Language/Legal Issue; Agent 2nd warning; Failure to Timely Respond
1420,Contract Language/Legal Issue; Agent Resp Recvd
1421,Contract Language/Legal Issue; Agent Resp Recvd; Question of Fact
1422,Contract Language/Legal Issue; Appraisal Process Invoked
1423,Contract Language/Legal Issue; Appraisal Process Invoked; Additional Monies Received
1424,Contract Language/Legal Issue; Appraisal Process Invoked; Additional Payment Expected
1425,Contract Language/Legal Issue; Appraisal Process Invoked; Claim Settled
1426,Contract Language/Legal Issue; Appraisal Process Invoked; Company Position Upheld
1427,Contract Language/Legal Issue; Appraisal Process Invoked; Complainant Retained Attorney
1428,Contract Language/Legal Issue; Appraisal Process Invoked; Information Furnished
1429,Contract Language/Legal Issue; Appraisal Process Invoked; Question of Fact
1430,Contract Language/Legal Issue; Cancel/Non-Renewal Upheld
1431,Contract Language/Legal Issue; Cancel/Non-Renewal Upheld; Additional Payment Expected
1432,Contract Language/Legal Issue; Cancel/Non-Renewal Upheld; Company Position Upheld
1433,Contract Language/Legal Issue; Cancel/Non-Renewal Upheld; Complainant Retained Attorney
1434,Contract Language/Legal Issue; Cancel/Non-Renewal Upheld; Failure to Timely Respond
1435,Contract Language/Legal Issue; Cancel/Non-Renewal Upheld; Information Furnished
1436,Contract Language/Legal Issue; Cancel/Non-Renewal Upheld; Policy Not In Force
1437,Contract Language/Legal Issue; Cancel/Non-Renewal Upheld; Premium Refunded
1438,Contract Language/Legal Issue; Cancel/Non-Renewal Upheld; Question of Fact
1439,Contract Language/Legal Issue; Cancellation Withdrawn
1440,Contract Language/Legal Issue; Cancellation Withdrawn; Corrective Action Taken
1441,Contract Language/Legal Issue; Cancellation Withdrawn; Information Furnished
1442,Contract Language/Legal Issue; Cancellation Withdrawn; Policy Issued/Restored
1443,Contract Language/Legal Issue; Cash Surrender Paid
1444,Contract Language/Legal Issue; Cash Surrender Paid; Additional Monies Received
1445,Contract Language/Legal Issue; Cash Surrender Paid; Additional Payment Expected
1446,Contract Language/Legal Issue; Cash Surrender Paid; Information Furnished
1447,Contract Language/Legal Issue; Cash Surrender Paid; Premium Refunded
1448,Contract Language/Legal Issue; Claim Not Clean
1449,Contract Language/Legal Issue; Claim Not Clean; Additional Monies Received
1450,Contract Language/Legal Issue; Claim Not Clean; Claim Settled
1451,Contract Language/Legal Issue; Claim Not Clean; Company Position Upheld
1452,Contract Language/Legal Issue; Claim Not Clean; Information Furnished
1453,Contract Language/Legal Issue; Claim Not Clean; No Jurisdiction
1454,Contract Language/Legal Issue; Claim Not Clean; Question of Fact
1455,Contract Language/Legal Issue; Claim Settled
1456,Contract Language/Legal Issue; Claim Settled; Additional Monies Received
1457,Contract Language/Legal Issue; Claim Settled; Additional Payment Expected
